Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
 22:00;22;0.000;0.000;0.000;0;0;0;0
 23:00;23;0.738;0.789;1.527;75;0;0;0
2015-05-13 12:00;12;0.000;0.000;0.000;0;0;0;0
